Record_ID,Species,Taxon_Group,Date_Recorded,Site_Name,Habitat_Type,Recorder_Type,Survey_Method
1,Comma,Invertebrate,10/05/2024,Coastal Meadows,Grassland,Volunteer,Automated recorder
2,Comma,Invertebrate,29/03/2022,North Fen,Fen,Consultant,Professional survey
3,,Reptile,16/03/2024,Coastal Meadows,Grassland,Volunteer,Professional survey
4,Common Frog,Amphibian,20/04/2023,Riverdale Nature Reserve,Wetland,Volunteer,Automated recorder
5,Barn Owl,Bird,09/10/2023,Riverdale Nature Reserve,Wetland,Staff Ecologist,Professional survey
6,,Mammal,16/02/2024,Ashwood Woodland,Woodland,Staff Ecologist,Automated recorder
7,Grass Snake,Reptile,25/07/2022,North Fen,Fen,Volunteer,Professional survey
8,Common Pipistrelle,Mammal,11/06/2022,Ashwood Woodland,Woodland,Staff Ecologist,Citizen science
9,Grass Snake,Reptile,21/12/2023,Lowland Heath,Heathland,Volunteer,Citizen science
10,Common Frog,Amphibian,15/01/2022,Lowland Heath,Heathland,Volunteer,Automated recorder
11,Great Crested Newt,Amphibian,27/01/2023,Riverdale Nature Reserve,Wetland,Volunteer,Citizen science
12,Comma,Invertebrate,19/02/2024,Riverdale Nature Reserve,Wetland,Consultant,Automated recorder
13,Grass Snake,Reptile,18/08/2024,North Fen,Fen,Consultant,Professional survey
14,Comma,Invertebrate,28/01/2023,North Fen,Fen,Volunteer,Automated recorder
15,Comma,Invertebrate,18/07/2023,Riverdale Nature Reserve,Wetland,Consultant,Automated recorder
16,Barn Owl,Bird,01/08/2023,Lowland Heath,Heathland,Staff Ecologist,Professional survey
17,Water Vole,Mammal,09/07/2022,Coastal Meadows,Grassland,Staff Ecologist,Citizen science
18,Common Frog,Amphibian,11/12/2023,North Fen,Fen,Volunteer,Professional survey
19,Grass Snake,Reptile,18/03/2023,North Fen,Fen,Volunteer,Citizen science
20,European Hedgehog,Mammal,30/11/2023,Riverdale Nature Reserve,Wetland,Consultant,Citizen science
21,European Hedgehog,Mammal,12/12/2024,North Fen,Fen,Staff Ecologist,Automated recorder
22,Grass Snake,Reptile,05/02/2023,North Fen,Fen,Volunteer,Automated recorder
23,European Hedgehog,Mammal,06/07/2022,Riverdale Nature Reserve,Wetland,Volunteer,Automated recorder
24,Water Vole,Mammal,27/05/2022,North Fen,Fen,Volunteer,Citizen science
25,Common Frog,Amphibian,31/05/2022,Riverdale Nature Reserve,Wetland,Volunteer,Citizen science
26,Barn Owl,Bird,30/05/2024,Coastal Meadows,Grassland,Consultant,Automated recorder
27,Comma,Invertebrate,26/03/2024,Riverdale Nature Reserve,Wetland,Volunteer,Automated recorder
28,European Hedgehog,Mammal,14/04/2022,Coastal Meadows,Grassland,Volunteer,Citizen science
29,Common Pipistrelle,Mammal,01/04/2024,Ashwood Woodland,Woodland,Staff Ecologist,Citizen science
30,Lapwing,Bird,05/02/2023,Coastal Meadows,Grassland,Consultant,Automated recorder
31,Small Tortoiseshell,Invertebrate,27/01/2022,North Fen,Fen,Volunteer,Citizen science
32,Great Crested Newt,Amphibian,01/07/2023,Coastal Meadows,Grassland,Consultant,Professional survey
33,Lapwing,Bird,26/11/2024,North Fen,Fen,Volunteer,Citizen science
34,Barn Owl,Bird,07/09/2024,Lowland Heath,Heathland,Volunteer,Citizen science
35,Water Vole,Mammal,17/11/2023,Ashwood Woodland,Woodland,Volunteer,Automated recorder
36,Water Vole,Mammal,24/02/2024,Ashwood Woodland,Woodland,Consultant,Professional survey
37,Comma,Invertebrate,09/07/2024,ashwood woodland,Woodland,Staff Ecologist,Citizen science
38,Barn Owl,Bird,27/05/2023,Riverdale Nature Reserve,Wetland,Staff Ecologist,Professional survey
